C,W,nolang,en,cs
,net.dryuf.security.admin.form.AdminRolesForm,admin,sysadmin,sysadmin
,net.dryuf.security.admin.form.AdminRolesForm,sysconf,sysconf,sysconf
,net.dryuf.security.admin.form.AdminRolesForm,translation,translation,translation
,net.dryuf.security.admin.form.AdminRolesForm,extreme,extreme,extreme
,net.dryuf.security.admin.form.AdminRolesForm,devel,devel,devel
,net.dryuf.security.admin.form.AdminRolesForm,timing,timing,timing
,net.dryuf.security.admin.form.AdminRolesForm,translation_level,translation_level,translation_level
,net.dryuf.security.admin.form.AdminRolesForm,eff_uid,eff_uid,eff_uid
,net.dryuf.security.admin.form.AdminRolesForm,eff_username,eff_username,eff_username
,net.dryuf.security.admin.form.AdminRolesForm,update,Update,Nastavit
,,,,
,net.dryuf.security.admin.form.AdminTranslationForm,translation_level,translation_level,translation_level
,net.dryuf.security.admin.form.AdminTranslationForm,update,Update,Nastavit
,,,,
,net.dryuf.security.admin.mvp.AdminMainPresenter,Roles,Roles,Role
,net.dryuf.security.admin.mvp.AdminMainPresenter,Translation,Translation,Překlady
,,,,
,net.dryuf.security.bo.UserAccountBo,Wrong password,Wrong password,Špatné heslo
,,,,
,net.dryuf.security.form.LoginForm,password,Password,Heslo
,net.dryuf.security.form.LoginForm,username,User name,Uživatelské jméno
,net.dryuf.security.form.LoginForm,Login failed,Login failed,Přihlášení se nepovedlo
,net.dryuf.security.form.LoginForm,Wrong password,Wrong password,Špatné heslo
,net.dryuf.security.form.LoginForm,login,Login,Přihlásit
,net.dryuf.security.form.LoginForm,User not activated,User not activated,Uživatel neaktivován
,,,,
,net.dryuf.security.form.ChangePasswordForm,change,Change,Změnit
,net.dryuf.security.form.ChangePasswordForm,oldPassword,Old password,Staré heslo
,net.dryuf.security.form.ChangePasswordForm,password,Password,Heslo
,net.dryuf.security.form.ChangePasswordForm,password2,Password (check),Heslo (ověření)
,,,,
,net.dryuf.security.form.ForgotPasswordForm,captcha,Captcha,Kontrolní kód
,net.dryuf.security.form.ForgotPasswordForm,send,Send ,Odeslat
,net.dryuf.security.form.ForgotPasswordForm,username,Username,Uživatelské jméno
,net.dryuf.security.form.ForgotUpdatePasswordForm,password,Password,Heslo
,net.dryuf.security.form.ForgotUpdatePasswordForm,password2,Password (check),Heslo (ověření)
,net.dryuf.security.form.ForgotUpdatePasswordForm,update,Update,Nastavit
,,,,
,net.dryuf.security.form.RegisterForm,captcha,Captcha,Kontrolní kód
,net.dryuf.security.form.RegisterForm,email,E-mail,E-mail
,net.dryuf.security.form.RegisterForm,email2,Email (check),E-mail (ověření)
,net.dryuf.security.form.RegisterForm,password,Password,Heslo
,net.dryuf.security.form.RegisterForm,password2,Password (check),Heslo (ověření)
,net.dryuf.security.form.RegisterForm,register,Register,Registrovat
,net.dryuf.security.form.RegisterForm,username,User name,Uživatelské jméno
,net.dryuf.security.form.RegisterForm,firstName,First name,Křestní jméno
,net.dryuf.security.form.RegisterForm,lastName,Last name,Příjmení
,net.dryuf.security.form.RegisterForm,phone,Phone,Telefon
,,,,
,net.dryuf.security.mvp.CommonForgotPasswordPresenter,User Forgotten Password,User Forgotten Password,Zapomenuté heslo
,net.dryuf.security.mvp.CommonForgotPasswordPresenter,You asked for changing the user password on our website. Please change it by clicking on,You asked for changing the user password on our website. Please change it by clicking on,You asked for changing the user password on our website. Please change it by clicking on
,,,,
,net.dryuf.security.mvp.CommonLoggedPresenter,Administration,Administration,Administrace
,net.dryuf.security.mvp.CommonLoggedPresenter,You can change password here.,You can change password here.,Můžete změnit heslo zde.
,net.dryuf.security.mvp.CommonLoggedPresenter,You have been successfully logged in.,You have been successfully loggined in.,Úspěšně jste se přihlásili.
,,,,
,net.dryuf.security.mvp.CommonLoginDividerPresenter,Forgot password?,Forgot password?,Zapomenuté heslo?
,net.dryuf.security.mvp.CommonLoginDividerPresenter,Not registered yet?,Not registered yet?,Dosud neregistrován?
,net.dryuf.security.mvp.CommonLoginDividerPresenter,Register now.,Register now.,Registrovat teď.
,net.dryuf.security.mvp.CommonLoginDividerPresenter,register,Register,Registrovat
,net.dryuf.security.mvp.CommonLoginDividerPresenter,forgotpassword,Forgot password,Zapomenuté heslo
,,,,
,net.dryuf.security.mvp.CommonRegisterPresenter,User Registration,User Registration,Uživatelská registrace
,net.dryuf.security.mvp.CommonRegisterPresenter,You asked for creating the user on our website. Please activate it clicking on,You asked for creating the user on our website. Please activate it clicking on,"Zakládal jste si konto na našem webu, pokračujte prosím kliknutím na"
,,,,
,net.dryuf.security.mvp.LoggedPresenter,You can change password here.,You can change password here.,Zde můžete změnit heslo.
,net.dryuf.security.mvp.LoggedPresenter,You have been successfully logged in.,You have been successfully logged in.,Jste úspěšně přihlášení.
,,,,
,net.dryuf.security.mvp.RegisterActivatePresenter,"Activation successful, you can login now","Activation successful, you can login now","Aktivace úspěšná, nyní se můžete přihlásit."
,net.dryuf.security.mvp.RegisterPresenter,Passwords do not match,Passwords do not match,Hesla si neodpovídají
,net.dryuf.textual.CaptchaTextual,Incorrect captcha,Incorrect code,Kód neodpovídá
,,,,
,net.dryuf.textual.DateTextual,format dd.mm.yyyy hh:mm:ss required,format dd.mm.yyyy hh:mm:ss required,Zadejte datum ve tvaru dd.mm.rrrr hh.mm.ss
,,,,
,net.dryuf.textual.EmailTextual,E-mail (name@domain) required,E-mail (name@domain) is mandatory field,Chybný formát emailu (jméno@doména)
,,,,
,net.dryuf.textual.FloatTextual,Real number required,"Enter number with , or .",Zadejte číslo s desetinnou čárkou nebo tečkou
,,,,
,net.dryuf.textual.ImageFileTextual,"Image file of type png or jpeg expected (suffix jpg, jpeg, png)","Image file of type png or jpeg expected (suffix jpg, jpeg, png)","Očekáván obrázek typu png nebo jpeg (přípona jpg, jpeg, png)"
,,,,
,net.dryuf.textual.LongTextual,Number required.,Number required.,Vyžadováno celé číslo.
,,,,
,net.dryuf.textual.NaturalTextual,Natural number required,Natural number required,Vyžadováno celé přirozené číslo
,net.dryuf.textual.NaturalTextual,Natural number required.,Natural number required.,Vyžadováno celé přirozené číslo
,,,,
,net.dryuf.textual.PhoneTextual,Phone number required,Phone number required ,Zadejte telefonní číslo
,net.dryuf.textual.PhoneTextual,Please use international format with 00 or + prefix,"Please use international format with + or 00 prefix, e.g. 00420765123456 ","Použijte mezinárodní formát s 00 či + na začátku, např. 00420789123456 "
,,,,
,net.dryuf.textual.WebpageTextual,"Web page (http://x.y.z) required","Web page (http://x.y.z) required","Požadována web stránks (http://x.y.z)"
